36th Parliament, 1st Session
194	Ontario Society for the Prevention of Cruelty to Animals Amendment Act (Animal Protection Complaints Commissioner), 2011	
Berardinetti, Lorenzo
195	Banning Collusion in Electoral Advertising Act, 2011	
Arnott, Ted
196	Ensuring Integrity in Ontario Elections Act, 2011	
Bentley, Hon. Christopher Attorney General
197	Education and Municipal Amendment Act (Filling Vacancies), 2011	
Ouellette, Jerry J.
198	Non-profit Housing Co-operatives Statute Law Amendment Act, 2011	
Cansfield, Donna H.
199	Human Rights Code Amendment Act (Genetic Characteristics), 2011	
Colle, Mike
200	Pregnancy and Infant Loss Awareness Day Act, 2011	
Miller, Paul
Elliott, Christine
Flynn, Kevin Daniel
201	Drivers Over the Age of 80 Identification Act, 2011	
Sergio, Mario
202	Provincial Offences Statute Law Amendment Act (Jury Trials), 2011	
Hillier, Randy
203	Provincial Offences Amendment Act (Sentencing and Appeals), 2011	
Hillier, Randy
204	Residential Tenancies Amendment Act (Rent Increases), 2011	
Sterling, Norman W.
205	Taxation Amendment Act (Informal Caregivers), 2011	
Levac, Dave
206	TransCanada Highway Improvement Act (Highway 17), 2011	
Orazietti, David
207	Grand Juries Act, 2011	
Hillier, Randy
208	Workplace Safety and Insurance Amendment Act (Permanent Partial Disability Supplements), 2011	
Albanese, Laura
209	Reducing Automobile Insurance Premiums by Eliminating Fraud Act, 2011	
Mangat, Amrit
210	Workers' Death Benefits Protection Act, 2011	
Levac, Dave
211	Protecting Contractors Through Prompt Payment Act, 2011	
Levac, Dave
231	Election Statute Law Amendment Act, 2010	
Bentley, Hon. Christopher Attorney General
235	Energy Consumer Protection Act, 2010	
Duguid, Hon. Brad Minister of Energy and Infrastructure
236	Pension Benefits Amendment Act, 2010	
Duncan, Hon. Dwight Minister of Finance
242	Full Day Early Learning Statute Law Amendment Act, 2010	
Dombrowsky, Hon. Leona Minister of Education

40th Parliament, 1st Session
Bill title search
No.	Bill title	Sponsor
PR1	Coutu Gold Mines Limited Act, 2012	
Orazietti, David
1	An Act to perpetuate an ancient parliamentary right	
McGuinty, Hon. Dalton Premier
2	Healthy Homes Renovation Tax Credit Act, 2012	
Duncan, Hon. Dwight Minister of Finance
3	York Region Transit Labour Disputes Resolution Act, 2011	
Shurman, Peter
Klees, Frank
Munro, Julia
PR3	Master's College and Seminary Act (Tax Relief), 2012	
Leal, Jeff
PR4	Hili Enterprises Ltd. Act, 2012	
Damerla, Dipika
4	Retail Sales Tax Amendment Act (HST Rebate for Home Heating), 2011	
Mantha, Michael
5	Wireless Phone, Smart Phone and Data Service Transparency Act, 2011	
Orazietti, David
PR6	Universal Health Consulting Inc. Act, 2012	
O'Toole, John
6	Imitation Firearms Regulation Amendment Act, 2011	
Dickson, Joe
7	York Region Transit Labour Disputes Resolution Act, 2011	
Shurman, Peter
PR7	Royal Conservatory of Music Act, 2012	
Sorbara, Greg
8	Ontario Underground Infrastructure Notification System Act, 2012	
Bailey, Robert
Miller, Paul
PR9	Congregation of the Sisters of St. Joseph in Canada Act, 2012	
Leal, Jeff
9	Public Transportation and Highway Improvement Amendment Act, 2011	
Miller, Norman
10	Local Municipality Democracy Act, 2011	
Smith, Todd
11	Attracting Investment and Creating Jobs Act, 2012	
Duguid, Hon. Brad Minister of Economic Development and Innovation
12	Helping Volunteers Give Back Act, 2011	
Jones, Sylvia
13	Accepting Schools Act, 2012	
Broten, Hon. Laurel C. Minister of Education
14	Anti-Bullying Act, 2012	
MacLeod, Lisa
15	Ontario Society of Professional Engineers Act, 2012	
Kwinter, Monte
16	Public Safety Related to Dogs Statute Law Amendment Act, 2012	
Hillier, Randy
Craitor, Kim
DiNovo, Cheri
17	Jewish Heritage Month Act, 2012	
Colle, Mike
DiNovo, Cheri
Shurman, Peter
18	Respect for Voters Act, 2011	
Jones, Sylvia
19	Residential Tenancies Amendment Act (Rent Increase Guideline), 2012	
Wynne, Hon. Kathleen O. Minister of Municipal Affairs and Housing
20	Hawkins Gignac Act (Carbon Monoxide Detectors), 2012	
Hardeman, Ernie
21	Protection of Vulnerable and Elderly People from Abuse Act (Powers of Attorney), 2011	
O'Toole, John
22	Escaping Domestic Violence Act, 2011	
Naqvi, Yasir
23	Protecting Vulnerable People Against Picketing Act, 2011	
Jones, Sylvia
24	Protection of Minors in Amateur Sports Act, 2012	
Ouellette, Jerry J.
25	Taxation Amendment Act (Public Transit Expense Tax Credit), 2011	
O'Toole, John
26	Twenty-First Century Skills Award Act, 2011	
O'Toole, John
27	Gasoline Tax Fairness for All Act, 2012	
Yakabuski, John
28	Registered Human Resources Professionals Act, 2012	
Zimmer, David
Elliott, Christine
Prue, Michael
29	Protection of Child Care Centres Act (Extended Day Programs), 2011	
Leone, Rob
30	Family Caregiver Leave Act (Employment Standards Amendment), 2012	
Jeffrey, Hon. Linda Minister of Labour
31	Red Tape and Regulatory Review Act, 2011	
Hillier, Randy
32	Major-General Sir Isaac Brock Day Act, 2012	
Clark, Steve
33	Toby's Act (Right to be Free from Discrimination and Harassment Because of Gender Identity or Gender Expression), 2012	
DiNovo, Cheri
Elliott, Christine
Naqvi, Yasir
34	Security for Courts, Electricity Generating Facilities and Nuclear Facilities Act, 2012	
Meilleur, Hon. Madeleine Minister of Community Safety and Correctional Services
35	Major-General Sir Isaac Brock Day Act, 2012	
Clark, Steve
Craitor, Kim
Forster, Cindy
36	Radon Awareness and Prevention Act, 2012	
Moridi, Reza
37	Ontario Society for the Prevention of Cruelty to Animals Amendment Act, 2012	
MacLaren, Jack
38	Highway Traffic Amendment Act (Roadside Assistance Vehicles), 2012	
Dunlop, Garfield
39	Education Amendment Act (Concussions), 2012	
Broten, Hon. Laurel C. Minister of Education
40	Epilepsy Awareness Day Act, 2012	
Jaczek, Helena
41	Reducing Automobile Insurance Premiums by Eliminating Fraud Act, 2012	
Mangat, Amrit
42	Affordable Energy and Restoration of Local Decision Making Act, 2012	
Hudak, Tim
43	Insurance Amendment Act (Elements in Classifying Risks for Automobile Insurance), 2012	
Sergio, Mario
44	Far North Repeal Act, 2012	
Miller, Norman
45	Insurance Amendment Act (Risk Classification Systems for Automobile Insurance), 2012	
Singh, Jagmeet
46	Supply Act, 2012	
Duncan, Hon. Dwight Minister of Finance
47	Ontario Society for the Prevention of Cruelty to Animals Amendment Act, 2012	
MacLaren, Jack
48	Alzheimer Advisory Council Act, 2012	
Cansfield, Donna H.
DiNovo, Cheri
Elliott, Christine
49	French Language Services Amendment Act, 2012	
Gélinas, France
50	Ambulance Amendment Act (Air Ambulances), 2012	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
51	Highway Traffic Amendment Act (Brake Pad Standards), 2012	
Sandals, Liz
52	Ontario Forestry Industry Revitalization Act (Height of Wood Frame Buildings), 2012	
Fedeli, Victor
53	Taxation Amendment Act (Payment of the Ontario Trillium Benefit), 2012	
Prue, Michael
54	Fire Protection and Prevention Amendment Act (Retrofitting of Retirement Homes with Automatic Sprinklers), 2012	
Miller, Paul
55	Strong Action for Ontario Act (Budget Measures), 2012	
Duncan, Hon. Dwight Minister of Finance
56	Legislative Assembly Amendment Act (Standing Committee on Public Accounts for Health Care and Education), 2012	
Ouellette, Jerry J.
57	Constitution Day Act, 2012	
Hillier, Randy
58	Organ or Tissue Donation Statute Law Amendment Act, 2012	
Milligan, Rob E.
59	Regulated Health Professions Amendment Act (Optometry Professional Corporations), 2012	
O'Toole, John
60	Municipal Amendment Act (Election of Chair of York Region), 2012	
Moridi, Reza
61	Ontario's Wood First Act, 2012	
Mauro, Bill
62	Legislative Oversight of Regulations Act, 2012	
Nicholls, Rick
63	Taxpayer Protection Amendment Act, 2012	
Hillier, Randy
64	Costing of Public Bills Act, 2012	
Hillier, Randy
65	Non-profit Housing Co-operatives Statute Law Amendment Act, 2012	
Wynne, Hon. Kathleen O. Minister of Municipal Affairs and Housing
66	Smoke-Free Ontario Amendment Act (Prohibiting Flavoured Tobacco, New Tobacco Products and Smokeless Tobacco), 2012	
Gélinas, France
67	Children's Law Reform Amendment Act (Relationship with Grandparents), 2012	
Craitor, Kim
DiNovo, Cheri
Elliott, Christine
68	Regulated Health Professions Amendment Act (Treating Spouses), 2012	
Clark, Steve
69	Elephant Protection Act, 2012	
Berardinetti, Lorenzo
70	Trust in Arbitration Act, 2012	
Hillier, Randy
71	New Drivers' Insurance Rate Reduction Act, 2012	
Sergio, Mario
72	Property Owners' Protection Act, 2012	
Marchese, Rosario
73	Endangered Species Amendment Act, 2012	
Scott, Laurie
74	Skin Cancer Prevention Act, 2012	
Gélinas, France
75	Ontario Electricity System Operator Act, 2012	
Bentley, Hon. Christopher Minister of Energy
76	Ensuring Local Voices in New Casino Gambling Development Act, 2012	
McNaughton, Monte
77	Labour Relations Amendment Act (Fairness for Employees), 2012	
Natyshak, Taras
78	Defending Employees' Rights Act (Collective Bargaining and Financial Disclosure by Trade Unions), 2012	
Hillier, Randy
79	Labour Relations Amendment Act (Equal Rights for Employees in Ontario), 2012	
Natyshak, Taras
80	Anti-Bullying Act, 2012	
MacLeod, Lisa
81	Inherited Heart Rhythm Disorders Awareness Act, 2012	
McKenna, Jane
Flynn, Kevin Daniel
Taylor, Monique
82	Wireless Services Agreements Act, 2012	
Best, Hon. Margarett R. Minister of Consumer Services
83	Metrolinx Amendment Act, 2012	
Schein, Jonah
84	Labour Relations Amendment Act (Ontario Labour Relations Board), 2012	
Hillier, Randy
85	Defending Employees' Rights Act (Certification of Trade Unions), 2012	
Hillier, Randy
86	Healthy Decisions for Healthy Eating Act, 2012	
Gélinas, France
87	Workplace Safety and Insurance Amendment Act (Alternate Insurance Plans), 2012	
Hillier, Randy
88	Pesticides Amendment Act (Licence for Cosmetic Purposes), 2012	
Chudleigh, Ted
89	PKU Awareness Month Act, 2012	
Delaney, Bob
90	Children and Youth in Care Day Act, 2012	
Piruzza, Teresa
91	Helping Ontarians Enter the Skilled Trades Act, 2012	
Dunlop, Garfield
92	Comprehensive Public Sector Compensation Freeze Act, 2012	
Yurek, Jeff
93	Liquor Licence Amendment Act (Serving Liquor in Certain Places), 2012	
Albanese, Laura
94	Addressing Ontario's Debt Through Alternatives to Public Sector Layoffs and Program Cuts Act, 2012	
Barrett, Toby
95	Condominium Amendment Act (Recovery of Common Expenses), 2012	
Sergio, Mario
96	Electronic Commerce Amendment Act, 2012	
Smith, Todd
Naqvi, Yasir
97	Ontario Justices of the Peace Modernization Act, 2012	
Orazietti, David
98	Consumer Protection Amendment Act (Money Transfers), 2012	
Singh, Jagmeet
99	Bicycle Month Act, 2012	
Schein, Jonah
100	Great Lakes Protection Act, 2012	
Bradley, Hon. James J. Minister of the Environment
101	Balanced Budget and Debt Limit Act, 2012	
Leone, Rob
102	Education Amendment Act (Blocker Pads), 2012	
Jackson, Rod
103	Great Lakes Shoreline Right of Passage Act, 2012	
Craitor, Kim
104	Taxation Amendment Act (Food Bank Donation Tax Credit for Farmers), 2012	
Bailey, Robert
105	Sickle Cell and Thalassemia Care Ontario Act, 2012	
Colle, Mike
106	Prevention of Electoral Fraud Act, 2012	
Balkissoon, Bas
107	Protecting Employees' Tips Act, 2012	
Prue, Michael
108	Homeowners Insurance Credit Scoring Ban Act, 2012	
Colle, Mike
109	Transparency in Government Bills Act, 2012	
Harris, Michael
110	Ombudsman Amendment Act (Children's Aid Societies), 2012	
Taylor, Monique
111	Tamil Heritage Month Act, 2012	
Coteau, Michael
112	Ombudsman Amendment Act (School Boards), 2012	
Marchese, Rosario
113	Labour Relations Amendment Act (Binding Arbitration), 2012	
Natyshak, Taras
114	Taxation Amendment Act, 2012	
Duncan, Hon. Dwight Minister of Finance
115	Putting Students First Act, 2012	
Broten, Hon. Laurel C. Minister of Education
116	Legislative Assembly Amendment Act (Board of Internal Economy), 2012	
Gerretsen, Hon. John Attorney General
117	Inter-Provincial Importation of Wine and Beer Act, 2012	
Milligan, Rob E.
118	Performance Pay and Bonuses in the Public Sector Act (Management and Excluded Employees), 2012	
Bisson, Gilles
119	First Responders Day Act, 2012	
Klees, Frank
120	Registered Retirement Savings Protection Act, 2012	
Leal, Jeff
121	Ability to Pay Act, 2012	
Wilson, Jim
122	Ombudsman Amendment Act (Investigation of Health Care Services), 2012	
Gélinas, France
123	First Responders Day Act, 2012	
Klees, Frank
124	Jayesh's Law (Worker Safety at Service Stations), 2012	
Colle, Mike
125	Workplace Safety and Insurance Amendment Act (Permanent Partial Disability Supplements), 2012	
Sergio, Mario
126	Health Statute Law Amendment Act (Healthy Decisions Made Easy), 2012	
Gélinas, France
127	Fairness in Film and Media Production Act, 2012	
Tabuns, Peter
128	Planning Amendment Act (Enabling Municipalities to Require Inclusionary Housing), 2012	
DiNovo, Cheri
129	Workplace Safety and Insurance Amendment Act (Post Traumatic Stress Disorder), 2012	
DiNovo, Cheri
130	Promoting Local Food Act, 2012	
McMeekin, Hon. Ted Minister of Agriculture, Food and Rural Affairs
131	Enhancing Red Light Camera System Enforcement Act, 2012	
Naqvi, Yasir
132	Protection of Public Participation Act, 2012	
Naqvi, Yasir

40th Parliament, 2nd Session
Bill title search
No.	Bill title	Sponsor
1	An Act to perpetuate an ancient parliamentary right	
Wynne, Hon. Kathleen O. Premier
2	Restoring Planning Powers to Municipalities Act, 2013	
Wilson, Jim
3	Gasoline Tax Fairness for All Act, 2013	
Yakabuski, John
4	Health Profession Corporations Statute Law Amendment Act, 2013	
O'Toole, John
PR5	Terra Paving Inc. Act, 2013	
Shurman, Peter
5	Comprehensive Public Sector Compensation Freeze Act, 2013	
Shurman, Peter
6	Great Lakes Protection Act, 2014	
Bradley, Hon. James J. Minister of the Environment
7	Twenty-First Century Skills Award Act, 2013	
O'Toole, John
PR8	Beechwood Cemetery Company Act, 2013	
McNeely, Phil
8	Liquor Licence Amendment Act (Serving Liquor in Certain Places), 2013	
Albanese, Laura
9	Protection of Vulnerable and Elderly People from Abuse Act (Powers of Attorney), 2013	
O'Toole, John
PR10	Marsh & Co. Hospitality Realty Inc. Act, 2013	
Jaczek, Helena
10	Taxation Amendment Act (Public Transit Expense Tax Credit), 2013	
O'Toole, John
11	Ambulance Amendment Act (Air Ambulances), 2014	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
PR11	Royal Conservatory of Music Act, 2013	
Cansfield, Donna H.
PR12	Universal Health Consulting Inc. Act, 2013	
O'Toole, John
12	Jayesh's Law (Worker Safety at Service Stations), 2013	
Colle, Mike
13	Ontario Forestry Industry Revitalization Act (Height of Wood Frame Buildings), 2013	
Fedeli, Victor
PR13	Congregation of the Sisters of St. Joseph in Canada Act, 2013	
Crack, Grant
14	Non-profit Housing Co-operatives Statute Law Amendment Act, 2013	
Jeffrey, Hon. Linda Minister of Municipal Affairs and Housing
PR14	Aspen Drywall Inc. Act, 2013	
O'Toole, John
PR15	Ontario Institute of Professional Agrologists Act, 2013	
Hardeman, Ernie
15	First Responders Day Act, 2013	
Klees, Frank
16	Municipal Amendment Act (Election of Chair of York Region), 2013	
Jaczek, Helena
PR17	Triple “D” Holdings Ltd. Act, 2013	
Colle, Mike
17	Workplace Safety and Insurance Amendment Act (Alternate Insurance Plans), 2013	
Hillier, Randy
PR18	Kingsgate II Limited Act, 2013	
Armstrong, Teresa J.
18	Hawkins Gignac Act (Carbon Monoxide Detectors), 2013	
Hardeman, Ernie
PR19	Kingsgate III Limited Act, 2013	
Armstrong, Teresa J.
19	Taxpayer Protection Amendment Act, 2013	
Hillier, Randy
PR20	Kingsgate IV Limited Act, 2013	
Armstrong, Teresa J.
20	Respect for Municipalities Act (City of Toronto), 2014	
Marchese, Rosario
PR21	Westmount Ridge Associates Limited Act, 2013	
Armstrong, Teresa J.
21	Employment Standards Amendment Act (Leaves to Help Families), 2014	
Flynn, Hon. Kevin Daniel Minister of Labour
PR22	434753 Ontario Ltd. Act, 2014	
Balkissoon, Bas
22	Helping Ontarians Enter the Skilled Trades Act, 2013	
Dunlop, Garfield
PR23	1360906 Ontario Limited Act, 2014	
Kwinter, Monte
23	Legislative Assembly Amendment Act (Standing Committee on Public Accounts for Health Care and Education), 2013	
Ouellette, Jerry J.
PR24	Senchura Holdings Ltd. Act, 2013	
Prue, Michael
24	Legislative Assembly Amendment Act, 2013	
Fife, Catherine
PR25	Loretto Ladies' Colleges and Schools Act, 2014	
Colle, Mike
25	Sick Days are for Sick People Act, 2013	
O'Toole, John
PR26	Saint Paul University Act, 2014	
Fraser, John
26	Living Within Our Means Act, 2013	
Leone, Rob
PR27	Toronto International Film Festival Inc. Act (Tax Relief), 2014	
Marchese, Rosario
27	Social Assistance Programs Consolidation Act, 2013	
Barrett, Toby
PR28	YMCA of Hamilton/Burlington/Brantford Act (Tax Relief), 2014	
Delaney, Bob
28	Electronic Commerce Amendment Act, 2013	
Smith, Todd
PR29	394557 Ontario Limited Act, 2014	
Colle, Mike
29	Clandestine Drug Operation Prevention Act, 2013	
MacLeod, Lisa
PR30	Bruno's Alignment Limited Act, 2014	
Bartolucci, Rick
30	Skin Cancer Prevention Act (Tanning Beds), 2013	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
31	French Language Services Amendment Act, 2013	
Gélinas, France
PR32	1474486 Ontario Limited Act, 2014	
